run,year,demand_total_t,demand_critical_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,sl_total,sl_critical,i_start_t,i_end_t,reserve_required_t,reserve_actual_start_t,reserve_ok
R04:MIT:TEAM_MMOD,2038,250,170,263.094,3.157128,250,170,0,1,1,40.162771,37.82118425,30.82191781,40.162771,true
R04:MIT:TEAM_MMOD,2039,320,210,332.5443333,3.990532,320,210,0,1,1,37.82118425,46.37498558,39.45205479,37.82118425,false
R04:MIT:TEAM_MMOD,2040,390,250,394.6623333,4.735948,390,250,0,1,1,46.37498558,46.30137092,48.08219178,46.37498558,false
R05:TEAM_PRICE_SPIKE_E,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R05:TEAM_PRICE_SPIKE_E,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
R05:TEAM_PRICE_SPIKE_E,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
R05:TEAM_PRICE_SPIKE_E,2038,250,170,262.094,3.145128,250,170,0,1,1,40.162771,49.111643,30.82191781,40.162771,true
R05:TEAM_PRICE_SPIKE_E,2039,320,210,332.5443333,3.990532,320,210,0,1,1,49.111643,57.66544433,39.45205479,49.111643,true
R05:TEAM_PRICE_SPIKE_E,2040,390,250,394.6623333,4.735948,390,250,0,1,1,57.66544433,57.59182967,48.08219178,57.66544433,true
R06:TEAM_EARTH_NEW_EXERCISE_DELAY,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R06:TEAM_EARTH_NEW_EXERCISE_DELAY,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
R06:TEAM_EARTH_NEW_EXERCISE_DELAY,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
R06:TEAM_EARTH_NEW_EXERCISE_DELAY,2038,250,170,262.094,3.145128,250,170,0,1,1,40.162771,49.111643,30.82191781,40.162771,true
R06:TEAM_EARTH_NEW_EXERCISE_DELAY,2039,320,210,332.5443333,3.990532,320,210,0,1,1,49.111643,57.66544433,39.45205479,49.111643,true
R06:TEAM_EARTH_NEW_EXERCISE_DELAY,2040,390,250,394.6623333,4.735948,390,250,0,1,1,57.66544433,57.59182967,48.08219178,57.66544433,true
R07:TEAM_CAPEX_OVERRUN,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R07:TEAM_CAPEX_OVERRUN,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
R07:TEAM_CAPEX_OVERRUN,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
R07:TEAM_CAPEX_OVERRUN,2038,250,170,262.094,3.145128,250,170,0,1,1,40.162771,49.111643,30.82191781,40.162771,true
R07:TEAM_CAPEX_OVERRUN,2039,320,210,332.5443333,3.990532,320,210,0,1,1,49.111643,57.66544433,39.45205479,49.111643,true
R07:TEAM_CAPEX_OVERRUN,2040,390,250,394.6623333,4.735948,390,250,0,1,1,57.66544433,57.59182967,48.08219178,57.66544433,true
R08:TEAM_CHANNEL_A_CAPACITY,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R08:TEAM_CHANNEL_A_CAPACITY,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
R08:TEAM_CHANNEL_A_CAPACITY,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
R08:TEAM_CHANNEL_A_CAPACITY,2038,250,170,224.098,2.689176,250,170,0,1,1,40.162771,11.571595,30.82191781,40.162771,true
R08:TEAM_CHANNEL_A_CAPACITY,2039,320,210,332.5443333,3.990532,320,210,0,1,1,11.571595,20.12539633,39.45205479,11.571595,false
R08:TEAM_CHANNEL_A_CAPACITY,2040,390,250,394.6623333,4.735948,390,250,0,1,1,20.12539633,20.05178167,48.08219178,20.12539633,false
R08:MIT:TEAM_CHANNEL_A_CAPACITY,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R08:MIT:TEAM_CHANNEL_A_CAPACITY,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
R08:MIT:TEAM_CHANNEL_A_CAPACITY,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
R08:MIT:TEAM_CHANNEL_A_CAPACITY,2038,250,170,262.0984,3.1451808,250,170,0,1,1,40.162771,49.1159902,30.82191781,40.162771,true
R08:MIT:TEAM_CHANNEL_A_CAPACITY,2039,320,210,332.5443333,3.990532,320,210,0,1,1,49.1159902,57.66979153,39.45205479,49.1159902,true
R08:MIT:TEAM_CHANNEL_A_CAPACITY,2040,390,250,394.6623333,4.735948,390,250,0,1,1,57.66979153,57.59617687,48.08219178,57.66979153,true
R09:TEAM_MLI_DEGRADATION,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R09:TEAM_MLI_DEGRADATION,2036,140,105,151.44,5.620944,140,105,0,1,1,25.99967,31.818726,17.26027397,25.99967,true
R09:TEAM_MLI_DEGRADATION,2037,190,135,199.55,2.3946,190,135,0,1,1,31.818726,38.974126,23.42465753,31.818726,true
R09:TEAM_MLI_DEGRADATION,2038,250,170,262.094,3.145128,250,170,0,1,1,38.974126,47.922998,30.82191781,38.974126,true
R09:TEAM_MLI_DEGRADATION,2039,320,210,332.5443333,3.990532,320,210,0,1,1,47.922998,56.47679933,39.45205479,47.922998,true
R09:TEAM_MLI_DEGRADATION,2040,390,250,394.6623333,4.735948,390,250,0,1,1,56.47679933,56.40318467,48.08219178,56.47679933,true
R09:MIT:TEAM_MLI_DEGRADATION,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R09:MIT:TEAM_MLI_DEGRADATION,2036,140,105,155.94,5.746944,140,105,0,1,1,25.99967,36.192726,17.26027397,25.99967,true
R09:MIT:TEAM_MLI_DEGRADATION,2037,190,135,199.55,2.3946,190,135,0,1,1,36.192726,43.348126,23.42465753,36.192726,true
R09:MIT:TEAM_MLI_DEGRADATION,2038,250,170,262.094,3.145128,250,170,0,1,1,43.348126,52.296998,30.82191781,43.348126,true
R09:MIT:TEAM_MLI_DEGRADATION,2039,320,210,332.5443333,3.990532,320,210,0,1,1,52.296998,60.85079933,39.45205479,52.296998,true
R09:MIT:TEAM_MLI_DEGRADATION,2040,390,250,394.6623333,4.735948,390,250,0,1,1,60.85079933,60.77718467,48.08219178,60.85079933,true
R10:TEAM_GEO_CHANNEL_A,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R10:TEAM_GEO_CHANNEL_A,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
R10:TEAM_GEO_CHANNEL_A,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
R10:TEAM_GEO_CHANNEL_A,2038,250,170,262.094,3.145128,250,170,0,1,1,40.162771,49.111643,30.82191781,40.162771,true
R10:TEAM_GEO_CHANNEL_A,2039,320,210,332.5443333,3.990532,320,210,0,1,1,49.111643,57.66544433,39.45205479,49.111643,true
R10:TEAM_GEO_CHANNEL_A,2040,390,250,394.6623333,4.735948,390,250,0,1,1,57.66544433,57.59182967,48.08219178,57.66544433,true
